Timestamp,Ticker,Action,Quantity,ExecutionPrice,SignalType,TrailingStopPct
2026-02-23 11:03:10,NR7.SI,BUY,20000,0.14499999582767487,UNKNOWN,10.05
2026-02-23 11:03:13,42L.SI,BUY,27400,0.2150000035762787,UNKNOWN,12.29
2026-02-23 11:03:15,KJ5.SI,BUY,30800,0.2199999988079071,UNKNOWN,4.87
2026-02-23 11:03:17,1MZ.SI,BUY,10000,1.309999942779541,UNKNOWN,8.18
2026-02-23 11:03:19,NPW.SI,BUY,18200,0.5649999976158142,UNKNOWN,5.31
2026-02-23 11:03:22,544.SI,BUY,3400,1.309999942779541,UNKNOWN,8.29
2026-02-23 11:03:24,42C.SI,BUY,9000,0.20999999344348907,UNKNOWN,16.67
2026-02-23 11:08:44,C6L.SI,SELL,100,6.920000076293945,BUY_MOMENTUM,N/A
2026-02-23 11:08:46,NR7.SI,BUY,20200,0.14499999582767487,CORE_INIT,10.05
2026-02-23 11:08:49,NPW.SI,BUY,18300,0.5649999976158142,CORE_INIT,5.31
2026-02-23 11:49:13,NR7.SI,BUY,25400,0.14399999380111694,CORE_INIT,10.12
2026-02-23 11:49:16,NPW.SI,BUY,18300,0.5649999976158142,CORE_INIT,5.31
2026-02-23 13:18:48,NR7.SI,BUY,25100,0.14399999380111694,CORE_INIT,10.12
2026-02-23 13:18:51,53W.SI,BUY,19500,0.45500001311302185,BUY_MOMENTUM,5.34
2026-02-23 13:18:55,NPW.SI,BUY,18300,0.5649999976158142,CORE_INIT,5.31
2026-02-23 14:27:38,Y92.SI,BUY,52400,0.4699999988079071,BUY_DIP,3.63
2026-02-23 14:27:44,NR7.SI,BUY,25100,0.14399999380111694,CORE_INIT,10.12
2026-02-23 14:27:47,NPW.SI,BUY,18300,0.5649999976158142,CORE_INIT,5.31
