Asset_1,Asset_2,P_Value,Hedge_Ratio
H13.SI,J36.SI,0.02285,0.0164
G13.SI,OU8.SI,0.02287,0.0272
BEC.SI,BN2.SI,0.02301,6.0006
5E2.SI,AJBU.SI,0.02312,0.793
A17U.SI,BEC.SI,0.02312,0.2056
C52.SI,T6I.SI,0.02333,0.1732
D05.SI,NPW.SI,0.02336,53.4486
BQD.SI,Z25.SI,0.0234,0.2283
53W.SI,BEC.SI,0.0235,0.0529
CRPU.SI,S08.SI,0.02352,-0.4783
C52.SI,J36.SI,0.02357,0.0037
H22.SI,S20.SI,0.02371,4.8016
BUOU.SI,J36.SI,0.02399,0.0054
C6L.SI,Y92.SI,0.02402,-6.6611
C2PU.SI,Y92.SI,0.02409,-5.2991
53W.SI,AWX.SI,0.02409,0.1375
A04.SI,Q0F.SI,0.02409,0.3093
H02.SI,J36.SI,0.02414,0.1738
53W.SI,CHZ.SI,0.02437,0.9157
D01.SI,D05.SI,0.02448,0.1223
53W.SI,S69.SI,0.02449,2.1446
BQD.SI,G13.SI,0.02463,0.7623
AJBU.SI,UD1U.SI,0.02474,3.9295
S07.SI,U96.SI,0.02479,-0.2881
CRPU.SI,ER0.SI,0.0248,0.379
J69U.SI,S68.SI,0.02501,0.0511
ER0.SI,OYY.SI,0.02509,0.1241
CLN.SI,O10.SI,0.02524,1.0892
BN2.SI,QC7.SI,0.02527,1.0607
BQD.SI,NR7.SI,0.02536,0.6644
BUOU.SI,G92.SI,0.0254,0.2059
BQD.SI,E5H.SI,0.02577,1.0965
AW9U.SI,MXNU.SI,0.02579,0.3979
BEC.SI,MXNU.SI,0.02583,18.706
53W.SI,N2IU.SI,0.02592,0.2704
5E2.SI,AW9U.SI,0.02593,6.1704
53W.SI,P15.SI,0.0261,0.4811
C52.SI,S63.SI,0.02613,0.0274
AW9U.SI,ER0.SI,0.02642,0.1854
40T.SI,H02.SI,0.02645,-0.0074
NS8U.SI,O10.SI,0.02654,0.2145
5WF.SI,OU8.SI,0.02668,0.0351
C38U.SI,M1GU.SI,0.02684,3.4413
C52.SI,S56.SI,0.0269,0.338
558.SI,H78.SI,0.02694,0.1323
S68.SI,Z74.SI,0.02699,3.2579
41B.SI,J36.SI,0.02714,0.0141
AJBU.SI,HQU.SI,0.02729,0.3889
1D0.SI,M1GU.SI,0.02745,0.6964
1E3.SI,K71U.SI,0.02749,1.0406
5LY.SI,NR7.SI,0.02761,0.9623
MXNU.SI,O10.SI,0.02778,0.2555
E5H.SI,OYY.SI,0.02802,0.0285
5E2.SI,UD1U.SI,0.02823,3.0633
C52.SI,E3B.SI,0.02828,0.2573
5E2.SI,U06.SI,0.02846,0.109
1D0.SI,T6I.SI,0.0285,0.1498
BUOU.SI,EB5.SI,0.02853,0.2409
S08.SI,T82U.SI,0.02882,-0.2515
E3B.SI,H13.SI,0.02887,0.7579
BN2.SI,S20.SI,0.02892,0.6904
C52.SI,D01.SI,0.02905,0.0576
AJBU.SI,E5H.SI,0.02905,4.2184
5E2.SI,F99.SI,0.02907,0.7685
S41.SI,U06.SI,0.02916,0.1812
2318.HK,G92.SI,0.02928,25.7267
5E2.SI,Z25.SI,0.0293,0.6706
G13.SI,Y92.SI,0.02933,-0.0705
BQD.SI,L19.SI,0.02943,0.2238
H13.SI,T6I.SI,0.0295,0.8086
1E3.SI,F99.SI,0.02985,0.8916
1D0.SI,CHZ.SI,0.02989,0.9546
AW9U.SI,BKA.SI,0.02994,0.1306
BQD.SI,K71U.SI,0.03009,0.2733
S41.SI,Z74.SI,0.03014,0.1956
BQD.SI,S56.SI,0.0303,0.192
KJ5.SI,S20.SI,0.03038,0.2272
53W.SI,A17U.SI,0.03039,0.2377
1D4.SI,53W.SI,0.03059,0.5904
53W.SI,QC7.SI,0.03063,0.3612
E5H.SI,H22.SI,0.0307,0.0215
F99.SI,O10.SI,0.03074,0.7529
C07.SI,S08.SI,0.03075,-66.4642
H13.SI,S68.SI,0.03106,0.0963
53W.SI,A31.SI,0.03113,1.8553
5E2.SI,P15.SI,0.03122,0.8786
5E2.SI,H22.SI,0.03143,0.0835
5E2.SI,OU8.SI,0.03146,0.2749
BN2.SI,U06.SI,0.03152,0.1638
1H3.SI,BQD.SI,0.03164,-0.0114
D05.SI,J36.SI,0.03211,0.4812
5E2.SI,O10.SI,0.03214,0.6201
AWX.SI,BQD.SI,0.0322,5.7354
C52.SI,S41.SI,0.03221,0.3687
Q01.SI,U14.SI,0.03222,0.0311
5E2.SI,NS8U.SI,0.03234,2.6868
5E2.SI,MZH.SI,0.03243,0.8456
CRPU.SI,T6I.SI,0.03247,0.1083
C09.SI,F17.SI,0.03257,3.7567
9CI.SI,Q01.SI,0.03262,2.7303
53W.SI,BQD.SI,0.03263,0.9108
BEC.SI,T6I.SI,0.03295,2.642
S07.SI,S68.SI,0.03304,0.001
E5H.SI,T6I.SI,0.0333,0.0662
BQM.SI,C09.SI,0.03332,0.0838
5E2.SI,KUO.SI,0.03335,3.6765
53W.SI,E5H.SI,0.03344,1.4151
2318.HK,H78.SI,0.0335,6.6544
G13.SI,U96.SI,0.03356,-0.0018
D05.SI,H02.SI,0.03357,2.7067
U11.SI,U14.SI,0.03363,0.4564
AJBU.SI,P52.SI,0.03363,0.3529
5TP.SI,CHZ.SI,0.03363,9.5955
P8Z.SI,T82U.SI,0.03364,2.0854
5E2.SI,JYEU.SI,0.03372,0.944
ER0.SI,K71U.SI,0.03372,0.7619
C52.SI,MXNU.SI,0.03377,1.2334
C52.SI,Q01.SI,0.03393,0.784
BQD.SI,H02.SI,0.03409,0.0117
5E2.SI,BEC.SI,0.03412,0.1067
1D0.SI,H22.SI,0.03421,0.0491
42C.SI,O39.SI,0.03425,0.0318
5E2.SI,QC7.SI,0.03453,0.6009
1D0.SI,S68.SI,0.03466,0.0182
BQD.SI,QC7.SI,0.03471,0.2577
AWX.SI,OXMU.SI,0.0348,7.7113
BEC.SI,E5H.SI,0.03487,27.4136
40T.SI,558.SI,0.03518,-0.0811
42L.SI,KUO.SI,0.03523,1.8865
G92.SI,T82U.SI,0.03529,2.521
NS8U.SI,S20.SI,0.03539,0.1781
5E2.SI,S20.SI,0.03539,0.4942
40T.SI,AW9U.SI,0.0354,-0.9389
BQD.SI,NS8U.SI,0.03548,0.8605
F99.SI,G13.SI,0.03552,2.8555
1D0.SI,NPW.SI,0.03557,0.3326
5E2.SI,BQM.SI,0.0357,0.5195
40T.SI,M1GU.SI,0.03591,-0.2881
5E2.SI,5JS.SI,0.03598,2.0576
53W.SI,M44U.SI,0.036,0.3668
5E2.SI,H13.SI,0.03604,0.2623
BN2.SI,S41.SI,0.03607,0.7956
C38U.SI,F03.SI,0.03615,0.2772
41B.SI,T6I.SI,0.03616,0.7055
1D4.SI,O39.SI,0.03624,0.021
N2IU.SI,O10.SI,0.03638,0.9656
D01.SI,S68.SI,0.03644,0.3629
F99.SI,V03.SI,0.03651,0.0545
9CI.SI,H78.SI,0.03667,0.1232
5E2.SI,P40U.SI,0.0367,1.3918
BKA.SI,C52.SI,0.03679,1.2843
5E2.SI,H02.SI,0.03708,0.0255
5E2.SI,S68.SI,0.03719,0.0327
S20.SI,S68.SI,0.03721,0.0672
J36.SI,S68.SI,0.03723,5.7943
1D0.SI,BQD.SI,0.03724,1.0317
F99.SI,N2IU.SI,0.0375,0.7296
I07.SI,O10.SI,0.03756,0.3067
M44U.SI,P8Z.SI,0.03777,0.2405
40T.SI,K71U.SI,0.03792,-0.1511
E28.SI,H22.SI,0.03793,0.27
C52.SI,S20.SI,0.03794,0.3004
CRPU.SI,P8Z.SI,0.03798,0.0995
A17U.SI,BN2.SI,0.03801,1.2819
40T.SI,J36.SI,0.03804,-0.0012
40T.SI,D01.SI,0.03807,-0.0195
C07.SI,Q0F.SI,0.03812,11.273
BQD.SI,T6I.SI,0.03818,0.1017
P40U.SI,T6I.SI,0.03824,0.185
BQD.SI,UD1U.SI,0.0385,1.0395
5E2.SI,T6I.SI,0.03863,0.2395
40T.SI,U96.SI,0.03867,-0.022
5E2.SI,N2IU.SI,0.03877,0.4417
CC3.SI,D5IU.SI,0.03878,2.1188
5E2.SI,L19.SI,0.03884,0.371
5E2.SI,E3B.SI,0.03896,0.4296
ER0.SI,I07.SI,0.03897,1.5737
53W.SI,U11.SI,0.03907,0.0209
BQD.SI,O39.SI,0.03917,0.0151
2318.HK,C09.SI,0.03922,6.0176
H22.SI,Z74.SI,0.03936,1.1686
5E2.SI,MXNU.SI,0.0395,2.2585
S07.SI,S41.SI,0.03963,-0.1392
53W.SI,C07.SI,0.03984,0.0087
53W.SI,P8Z.SI,0.03987,0.1195
BQD.SI,F17.SI,0.03997,0.0692
5JS.SI,BUOU.SI,0.03999,0.3545
5E2.SI,CRPU.SI,0.04013,2.5799
E28.SI,H13.SI,0.0402,1.0013
5E2.SI,F03.SI,0.04032,0.0976
S07.SI,Z74.SI,0.04033,-0.0323
BQD.SI,Q0F.SI,0.04053,0.0856
5E2.SI,D01.SI,0.04065,0.0671
AJBU.SI,OYY.SI,0.04079,0.1554
M1GU.SI,P40U.SI,0.0408,1.1133
A17U.SI,AW9U.SI,0.04082,9.4631
5E2.SI,A17U.SI,0.04084,0.4575
BUOU.SI,D01.SI,0.04095,0.086
40T.SI,N2IU.SI,0.04096,-0.1082
H13.SI,H22.SI,0.04099,0.2682
C52.SI,U14.SI,0.04103,0.0244
S41.SI,T6I.SI,0.04105,0.4567
BQD.SI,S68.SI,0.04107,0.0123
L19.SI,Q01.SI,0.04108,1.9735
53W.SI,KJ5.SI,0.04142,0.9039
5E2.SI,S56.SI,0.04142,0.6212
5E2.SI,5WJ.SI,0.04165,0.2869
BKA.SI,QC7.SI,0.04174,0.9641
5E2.SI,Z74.SI,0.04181,0.0832
CRPU.SI,E3B.SI,0.04183,0.161
5WJ.SI,A31.SI,0.04184,6.9854
E5H.SI,JYEU.SI,0.04184,0.2771
53W.SI,F99.SI,0.04195,0.31
5JS.SI,J69U.SI,0.04199,0.2203
C52.SI,H78.SI,0.04205,0.0339
42L.SI,9CI.SI,0.04217,0.1403
1801.HK,Y92.SI,0.04226,-836.8745
5E2.SI,F17.SI,0.04232,0.1217
544.SI,A31.SI,0.04233,10.5544
ER0.SI,S20.SI,0.04234,0.4318
AJBU.SI,KJ5.SI,0.04263,2.3443
BUOU.SI,M14.SI,0.04275,0.4505
AW9U.SI,CLN.SI,0.04277,0.0925
S20.SI,T6I.SI,0.04278,0.5448
5E2.SI,K71U.SI,0.04284,0.7038
BQD.SI,U14.SI,0.04285,0.0153
C6L.SI,P15.SI,0.04286,2.6228
F99.SI,T6I.SI,0.04293,0.3737
CC3.SI,MZH.SI,0.04297,0.1152
5E2.SI,J69U.SI,0.04315,0.3944
A17U.SI,ER0.SI,0.04321,1.8296
1D0.SI,S56.SI,0.04324,0.2819
5E2.SI,U14.SI,0.04329,0.025
M14.SI,V03.SI,0.04353,0.0743
5JS.SI,OYY.SI,0.04356,0.0487
NR7.SI,Q0F.SI,0.04357,0.1261
42L.SI,S56.SI,0.04365,0.195
5E2.SI,C38U.SI,0.04371,0.279
5E2.SI,AP4.SI,0.04395,-0.3658
CLN.SI,CRPU.SI,0.04403,4.113
E5H.SI,ER0.SI,0.04408,0.2159
53W.SI,O10.SI,0.04418,0.2593
5E2.SI,G92.SI,0.04434,0.1709
C52.SI,HQU.SI,0.04445,0.1852
NPW.SI,V03.SI,0.04447,0.0556
P8Z.SI,S69.SI,0.04452,15.8331
5E2.SI,OXMU.SI,0.04456,2.8651
1D0.SI,G92.SI,0.04457,0.1135
CLN.SI,K71U.SI,0.04459,1.5151
BQD.SI,U06.SI,0.04462,0.0397
5JS.SI,P15.SI,0.04463,0.3538
558.SI,F03.SI,0.0447,0.2533
H22.SI,S68.SI,0.04472,0.3554
5JS.SI,QC7.SI,0.04483,0.2783
5E2.SI,M1GU.SI,0.04483,1.1237
53W.SI,5JS.SI,0.04487,1.0613
BKA.SI,P15.SI,0.04492,1.2867
1D0.SI,BN2.SI,0.04496,0.3415
5E2.SI,BQD.SI,0.04499,1.4459
U11.SI,V03.SI,0.04509,0.4381
5E2.SI,A31.SI,0.04511,1.4172
5LY.SI,BUOU.SI,0.04516,0.4774
5E2.SI,P8Z.SI,0.04519,0.138
5E2.SI,C09.SI,0.04528,0.0356
KJ5.SI,S56.SI,0.04546,0.248
5E2.SI,E5H.SI,0.0455,2.8052
BQD.SI,KJ5.SI,0.04551,0.6669
5E2.SI,H78.SI,0.04555,0.0408
CHZ.SI,V03.SI,0.04569,0.0197
5E2.SI,5TP.SI,0.04574,0.1229
40T.SI,5WF.SI,0.04581,-1.185
M1GU.SI,T6I.SI,0.04587,0.2077
D5IU.SI,NR7.SI,0.04607,-0.0632
E5H.SI,F99.SI,0.04613,0.162
C52.SI,H02.SI,0.04644,0.0199
C2PU.SI,C52.SI,0.04655,1.8089
2318.HK,Q01.SI,0.04669,147.5288
I07.SI,N2IU.SI,0.0467,0.3003
C52.SI,QC7.SI,0.04689,0.4238
5E2.SI,M14.SI,0.04691,0.1106
C52.SI,NS8U.SI,0.04696,1.4988
NPW.SI,S69.SI,0.04706,5.8112
BQD.SI,H22.SI,0.04711,0.0336
1MZ.SI,5WJ.SI,0.04711,1.2464
C52.SI,OYY.SI,0.04721,0.0706
BN2.SI,H13.SI,0.04737,0.4753
5E2.SI,BN2.SI,0.04737,0.6357
5JS.SI,D05.SI,0.04744,0.0046
E5H.SI,G13.SI,0.0475,0.5264
40T.SI,EB5.SI,0.04751,-0.0512
5E2.SI,OV8.SI,0.04765,0.0979
5E2.SI,S69.SI,0.0479,1.8469
5WF.SI,C52.SI,0.04794,0.1369
BQD.SI,E28.SI,0.04802,0.1045
BUOU.SI,Q0F.SI,0.04813,0.2323
5E2.SI,D5IU.SI,0.04836,1.8744
5E2.SI,A04.SI,0.04851,0.3402
5JS.SI,C38U.SI,0.04858,0.1416
BQD.SI,MXNU.SI,0.04859,0.6818
5E2.SI,S08.SI,0.04862,-0.075
5E2.SI,A7RU.SI,0.04867,1.2728
5E2.SI,CHZ.SI,0.04887,1.4876
5E2.SI,S41.SI,0.04889,0.566
D01.SI,NPW.SI,0.0489,6.6704
A17U.SI,J69U.SI,0.04907,1.2012
5E2.SI,F34.SI,0.04916,-0.0357
5E2.SI,V03.SI,0.04929,0.0301
5E2.SI,J36.SI,0.04929,0.0044
AJBU.SI,O10.SI,0.0493,0.6857
5E2.SI,EB5.SI,0.04939,0.1032
5E2.SI,BUOU.SI,0.04949,0.4709
N2IU.SI,S68.SI,0.04954,0.0608
53W.SI,P52.SI,0.04956,0.1334
5E2.SI,E28.SI,0.04957,0.3285
5E2.SI,5WF.SI,0.04968,8.3754
40T.SI,C6L.SI,0.04983,-0.0455
F99.SI,P40U.SI,0.04991,2.0047
