Asset_1,Asset_2,P_Value,Hedge_Ratio
1A0.SI,O10.SI,8e-05,0.0018
1A0.SI,NR7.SI,8e-05,-0.0049
1A0.SI,O39.SI,8e-05,-0.0001
1A0.SI,NS8U.SI,8e-05,0.0091
1A0.SI,CLN.SI,8e-05,0.0023
1A0.SI,F03.SI,8e-05,-0.0001
1A0.SI,ER0.SI,8e-05,0.0037
1A0.SI,558.SI,9e-05,0.0006
1A0.SI,BS6.SI,9e-05,0.0001
1A0.SI,BSL.SI,9e-05,0.0017
1A0.SI,5TP.SI,9e-05,0.0002
1A0.SI,5WJ.SI,9e-05,0.0007
1A0.SI,C07.SI,9e-05,-0.0
1A0.SI,5E2.SI,9e-05,0.0025
1A0.SI,1D0.SI,9e-05,-0.0007
1A0.SI,BQM.SI,9e-05,0.0
1A0.SI,1E3.SI,9e-05,0.0018
1A0.SI,5JS.SI,9e-05,0.0037
1A0.SI,5UF.SI,9e-05,0.0029
1A0.SI,U14.SI,9e-05,0.0
1A0.SI,T6I.SI,9e-05,0.0005
1A0.SI,V03.SI,9e-05,0.0002
1A0.SI,2318.HK,9e-05,0.0
1A0.SI,42L.SI,9e-05,0.0098
1A0.SI,KJ5.SI,9e-05,0.0023
1A0.SI,C2PU.SI,9e-05,0.0002
1A0.SI,J69U.SI,9e-05,0.0002
1A0.SI,J36.SI,9e-05,-0.0
1A0.SI,K71U.SI,9e-05,0.0021
1A0.SI,BUOU.SI,9e-05,0.0043
1A0.SI,1MZ.SI,9e-05,0.0003
1A0.SI,F17.SI,9e-05,0.0003
1A0.SI,H22.SI,9e-05,0.0002
1A0.SI,H13.SI,9e-05,0.0011
1A0.SI,C09.SI,9e-05,0.0001
1A0.SI,AW9U.SI,9e-05,0.0152
1A0.SI,AWX.SI,9e-05,0.0009
1A0.SI,P52.SI,9e-05,0.0006
1A0.SI,P40U.SI,9e-05,0.0038
1A0.SI,P15.SI,9e-05,0.0006
1A0.SI,OXMU.SI,9e-05,0.0109
1A0.SI,S58.SI,9e-05,0.0007
1A0.SI,S68.SI,9e-05,0.0001
1A0.SI,S56.SI,9e-05,0.0017
1A0.SI,UD1U.SI,9e-05,0.0008
1A0.SI,S41.SI,9e-05,0.0004
1A0.SI,P8Z.SI,9e-05,0.0007
1A0.SI,Q01.SI,9e-05,-0.0002
1A0.SI,QC7.SI,9e-05,0.0008
1A0.SI,S20.SI,9e-05,0.0015
1A0.SI,53W.SI,9e-05,0.0003
1A0.SI,A7RU.SI,9e-05,0.005
1A0.SI,41B.SI,9e-05,0.0007
1A0.SI,T82U.SI,9e-05,0.0002
1A0.SI,U06.SI,9e-05,0.0001
1A0.SI,EB5.SI,9e-05,0.0004
1A0.SI,NPW.SI,9e-05,-0.0002
1A0.SI,D01.SI,9e-05,-0.0001
1A0.SI,CHZ.SI,9e-05,0.0067
1A0.SI,C6L.SI,9e-05,0.0007
1A0.SI,E28.SI,9e-05,0.0011
1A0.SI,C52.SI,9e-05,0.0041
1A0.SI,H02.SI,9e-05,0.0
1A0.SI,G92.SI,9e-05,0.0001
1A0.SI,A17U.SI,9e-05,0.0023
1A0.SI,BN2.SI,9e-05,0.0016
1A0.SI,BN4.SI,9e-05,0.0
1A0.SI,BEC.SI,9e-05,0.0002
1A0.SI,A04.SI,9e-05,0.0001
1A0.SI,E3B.SI,9e-05,0.0011
1A0.SI,D05.SI,9e-05,0.0
1A0.SI,M1GU.SI,9e-05,0.0013
1A0.SI,M14.SI,9e-05,0.0007
1A0.SI,L19.SI,9e-05,0.0007
1A0.SI,KUO.SI,9e-05,0.0213
1A0.SI,C38U.SI,9e-05,0.0008
1A0.SI,OU8.SI,9e-05,0.0002
1A0.SI,N2IU.SI,9e-05,0.0023
1A0.SI,MXNU.SI,9e-05,0.0061
1A0.SI,9CI.SI,0.0001,0.0037
1A0.SI,F34.SI,0.00011,0.0022
1H3.SI,U11.SI,0.00011,-0.0001
40T.SI,BSL.SI,0.00011,-0.2583
CLN.SI,OYY.SI,0.00016,0.2515
A31.SI,NPW.SI,0.00018,0.1932
1E3.SI,N2IU.SI,0.00018,0.7494
5JS.SI,D01.SI,0.00024,0.0374
5JS.SI,P40U.SI,0.00026,0.6111
CHZ.SI,P40U.SI,0.00035,0.7753
H22.SI,T6I.SI,0.00039,2.9474
G13.SI,O10.SI,0.00041,0.1287
G13.SI,V03.SI,0.00043,0.0103
53W.SI,NPW.SI,0.00047,0.3796
F03.SI,S41.SI,0.00049,5.0747
G13.SI,P8Z.SI,0.00051,0.0611
5JS.SI,BN2.SI,0.00052,0.2615
G13.SI,ME8U.SI,0.00052,0.2075
G13.SI,OYY.SI,0.00053,0.0282
5JS.SI,J36.SI,0.00053,0.0023
5JS.SI,N2IU.SI,0.00062,0.2213
1E3.SI,5JS.SI,0.00069,3.0917
1A0.SI,U11.SI,0.00071,0.0005
I07.SI,OYY.SI,0.00073,0.0695
G13.SI,N2IU.SI,0.00074,0.1297
G13.SI,NS8U.SI,0.0008,0.5435
G13.SI,K71U.SI,0.00088,0.1816
G13.SI,G92.SI,0.00098,0.0521
G13.SI,T82U.SI,0.00099,0.1307
S41.SI,S68.SI,0.00105,0.0593
C38U.SI,S68.SI,0.00106,0.0929
BQD.SI,C07.SI,0.00108,0.0078
53W.SI,D5IU.SI,0.00109,-13.892
P15.SI,S41.SI,0.0011,0.5631
53W.SI,Q01.SI,0.00115,0.7288
